geometry,data,zone,name,id,type
"MULTIPOLYGON (((100.421676 13.74705, 100.460266 13.747611, 100.469681 13.725321, 100.451172 13.70709, 100.436431 13.712321, 100.435891 13.696469, 100.426177 13.690512, 100.422891 13.735942, 100.416992 13.735151, 100.411315 13.750973, 100.421676 13.74705)))",80,,ภาษีเจริญ,1022,3
"MULTIPOLYGON (((100.356711 13.74112, 100.38234 13.675861, 100.342437 13.65906, 100.331643 13.69556, 100.332703 13.739531, 100.356711 13.74112)))",80,,หนองแขม,1023,3
"MULTIPOLYGON (((100.485223 13.698603, 100.523248 13.68217, 100.518051 13.66532, 100.503196 13.664951, 100.497222 13.655851, 100.474823 13.6646, 100.48703 13.683271, 100.479652 13.69435, 100.485223 13.698603)))",80,,ราษฎร์บูรณะ,1024,3
"MULTIPOLYGON (((100.503989 13.788831, 100.489182 13.76454, 100.463936 13.789941, 100.501931 13.799511, 100.516128 13.811399, 100.503989 13.788831)))",80,,เขตบางพลัด,1025,3
"MULTIPOLYGON (((100.573418 13.802711, 100.571319 13.772469, 100.563317 13.758282, 100.551263 13.75907, 100.542092 13.765851, 100.560211 13.797421, 100.573418 13.802711)))",80,,เขตดินแดง,1026,3
"MULTIPOLYGON (((100.645988 13.85011, 100.648049 13.836771, 100.660974 13.833641, 100.675271 13.78954, 100.654747 13.773892, 100.629533 13.822392, 100.622971 13.820491, 100.636323 13.84777, 100.645988 13.85011)))",80,,เขตบึงกุ่ม,1027,3
"MULTIPOLYGON (((100.552063 13.72383, 100.542771 13.710311, 100.526452 13.70454, 100.506683 13.715591, 100.543373 13.72953, 100.552063 13.72383)))",80,,เขตสาธร,1028,3
"MULTIPOLYGON (((100.537347 13.830852, 100.543122 13.817551, 100.536072 13.79981, 100.515266 13.802871, 100.510261 13.824021, 100.541198 13.847079, 100.537347 13.830852)))",80,,เขตบางซื่อ,1029,3
"MULTIPOLYGON (((100.585265 13.861021, 100.587098 13.805309, 100.564628 13.7971, 100.536072 13.79981, 100.546249 13.85393, 100.585265 13.861021)))",80,,เขตจตุจักร,1030,3
"MULTIPOLYGON (((100.520707 13.70601, 100.531029 13.70221, 100.516251 13.686769, 100.48832 13.69842, 100.506683 13.715591, 100.520707 13.70601)))",80,,เขตบางคอแหลม,1031,3
"MULTIPOLYGON (((100.657509 13.740181, 100.706803 13.735119, 100.713348 13.694972, 100.699516 13.654481, 100.668579 13.665261, 100.667923 13.674492, 100.660119 13.66847, 100.640106 13.678931, 100.63305 13.70392, 100.649772 13.70598, 100.648322 13.731721, 100.657509 13.740181)))",80,,เขตประเวศ,1032,3
"MULTIPOLYGON (((100.600319 13.70833, 100.582574 13.697422, 100.556396 13.704761, 100.549378 13.746161, 100.600319 13.70833)))",80,,เขตคลองเตย,1033,3
"MULTIPOLYGON (((100.642907 13.75002, 100.658309 13.741781, 100.648322 13.731721, 100.649772 13.70598, 100.605392 13.709191, 100.598382 13.75102, 100.642907 13.75002)))",80,,เขตสวนหลวง,1034,3
"MULTIPOLYGON (((100.469139 13.71349, 100.474647 13.7145, 100.487297 13.688121, 100.481391 13.66852, 100.467042 13.656072, 100.448608 13.66148, 100.45256 13.674849, 100.432891 13.701602, 100.436431 13.712321, 100.451172 13.70709, 100.462447 13.720501, 100.469139 13.71349)))",80,,เขตจอมทอง,1035,3
"MULTIPOLYGON (((100.626449 13.945991, 100.625168 13.927852, 100.593712 13.89041, 100.581521 13.893282, 100.586182 13.901731, 100.560692 13.915339, 100.565109 13.948651, 100.571686 13.951972, 100.605233 13.94379, 100.61274 13.954151, 100.626449 13.945991)))",80,,เขตดอนเมือง,1036,3
