ชื่ออำเภอ (ภาษาอังกฤษ),ชื่ออำเภอ (ภาษาไทย) ,รหัสอำเภอ
Kut Bak,กุดบาก,47030000
Kut Chap,กุดจับ,41020000
Kut Chum,กุดชุม,35030000
Kut Khaopun,กุดข้าวปุ้น,34120000
Kut Rang,กุดรัง,44120000
La-ngu,ละงู,91050000
La-un,ละอุ่น,85020000
Laem Ngop,แหลมงอบ,23050000
Laem Sing,แหลมสิงห์,22060000
Lahan Sai,ละหานทราย,31060000
Lak Si,เขตหลักสี่,10410000
Lam Luk Ka,ลำลูกกา,13060000
Lam Plai Mat,ลำปลายมาศ,31100000
Lam Sonthi,ลำสนธิ,16100000
Lam Thap,ลำทับ,81070000
Lamae,ละแม,86050000
Lamduan,ลำดวน,32110000
Lamtaman Chai,ลำทะเมนชัย,30290000
Lan Krabue,ลานกระบือ,62070000
Lan Sak,ลานสัก,61070000
Lan Saka,ลานสกา,80030000
Lang Suan,หลังสวน,86040000
Lao Khwan,เลาขวัญ,71100000
Lao Suea Kok,เหล่าเสือโก้ก,34310000
Laplae,ลับแล,53080000
Lat Bua Luang,ลาดบัวหลวง,14100000
Lat Krabang,เขตลาดกระบัง,10110000
Lat Lum Kaeo,ลาดหลุมแก้ว,13050000
Lat Phrao,เขตลาดพร้าว,10380000
Lat Yao,ลาดยาว,60110000
Li,ลี้,51040000
Loeng Nok Tha,เลิงนกทา,35080000
Lom Kao,หล่มเก่า,67040000
Lom Sak,หล่มสัก,67030000
Long,ลอง,54030000
Lue Amnat,ลืออำนาจ,37070000
Mae Ai,แม่อาย,50100000
Mae Chaem,แม่แจ่ม,50030000
Mae Chan,แม่จัน,57070000
Mae Charim,แม่จริม,55020000
Mae Fa Luang,แม่ฟ้าหลวง,57150000
Mae La Noi,แม่ลาน้อย,58050000
Mae Lan,แม่ลาน,94120000
Mae Lao,แม่ลาว,57160000
Mae Mo,แม่เมาะ,52020000
Mae On,แม่ออน,50230000
Mae Pern,แม่เปิน,60140000
Mae Phrik,แม่พริก,52090000
Mae Ramat,แม่ระมาด,63040000
Mae Rim,แม่ริม,50070000
Mae Sai,แม่สาย,57090000
Mae Sariang,แม่สะเรียง,58040000
Mae Sot,แม่สอด,63060000
Mae Suai,แม่สรวย,57100000
Mae Taeng,แม่แตง,50060000
Mae Tha,แม่ทา,51020000
Mae Tha,แม่ทะ,52100000
Mae Wang,แม่วาง,50220000
Mae Wong,แม่วงก์,60130000
Maha Chana Chai,มหาชนะชัย,35060000
Maha Rat,มหาราช,14150000
Mai Kaen,ไม้แก่น,94080000
Makham,มะขาม,22050000
Manang,มะนัง,91070000
Mancha Khiri,มัญจาคีรี,40170000
Manorom,มโนรมย์,18020000
Mayo,มายอ,94050000
Min Buri,เขตมีนบุรี,10100000
Moei Wadi,เมยวดี,45150000
Muaeng Songkhla,เมืองสงขลา,90010000
Muak Lek,มวกเหล็ก,19110000
Muang Sam Sip,ม่วงสามสิบ,34140000
Mueang Amnat Charoen,เมืองอำนาจเจริญ,37010000
Mueang Ang Thong,เมืองอ่างทอง,15010000
Mueang Buri Ram,เมืองบุรีรัมย์,31010000
Mueang Chachoengsao,เมืองฉะเชิงเทรา,24010000
